"Statistischer Bezirk";"Stadtteil zus.";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtbezirk/Ortschaft";"Stadtraum";"Bautätigkeit - Art";"Genehmigungsjahr";"Gebäudeart";"Anzahl Gebäude";"Wohnungen gesamt"
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1997";"Mehrfamilienhaus";2;12
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1997";"Nichtwohngebäude ohne Wohnungen";1;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1998";"Mehrfamilienhaus";2;14
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1998";"Nichtwohngebäude ohne Wohnungen";2;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1999";"Mehrfamilienhaus";1;10
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2001";"Nichtwohngebäude ohne Wohnungen";5;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2003";"Nichtwohngebäude ohne Wohnungen";1;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2005";"Eigenheim";1;1
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2005";"Mehrfamilienhaus";1;11
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2006";"Nichtwohngebäude ohne Wohnungen";2;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2008";"Nichtwohngebäude ohne Wohnungen";1;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2009";"Mehrfamilienhaus";1;8
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2011";"Nichtwohngebäude ohne Wohnungen";1;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2013";"Nichtwohngebäude ohne Wohnungen";2;0
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2014";"Eigenheim";4;5
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2015";"Mehrfamilienhaus";1;3
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2016";"Eigenheim";2;3
"226  Mickten(Altmickten)";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2017";"Nichtwohngebäude ohne Wohnungen";1;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1992";"Mehrfamilienhaus";3;88
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1993";"Eigenheim";1;2
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1994";"Eigenheim";2;2
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1994";"Mehrfamilienhaus";1;16
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1995";"Mehrfamilienhaus";7;68
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1995";"Nichtwohngebäude ohne Wohnungen";4;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1996";"Mehrfamilienhaus";10;93
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1996";"Nichtwohngebäude ohne Wohnungen";2;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1997";"Nichtwohngebäude ohne Wohnungen";3;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1998";"Mehrfamilienhaus";1;6
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1998";"Nichtwohngebäude ohne Wohnungen";1;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1999";"Nichtwohngebäude ohne Wohnungen";1;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2000";"Eigenheim";2;2
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2005";"Eigenheim";3;3
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2005";"Nichtwohngebäude ohne Wohnungen";1;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2006";"Eigenheim";3;3
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2007";"Nichtwohngebäude ohne Wohnungen";2;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2008";"Eigenheim";1;1
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2008";"Nichtwohngebäude ohne Wohnungen";1;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2009";"Eigenheim";1;1
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2010";"Eigenheim";2;2
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2011";"Eigenheim";1;1
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2012";"Eigenheim";2;2
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2013";"Eigenheim";5;5
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2014";"Nichtwohngebäude ohne Wohnungen";1;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2015";"Mehrfamilienhaus";5;33
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2015";"Nichtwohngebäude ohne Wohnungen";1;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2016";"Eigenheim";1;1
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2017";"Mehrfamilienhaus";4;95
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2017";"Nichtwohngebäude ohne Wohnungen";1;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2018";"Nichtwohngebäude ohne Wohnungen";2;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1992";"Eigenheim";1;2
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1993";"Nichtwohngebäude ohne Wohnungen";1;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1994";"Eigenheim";6;8
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1994";"Mehrfamilienhaus";1;12
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1995";"Eigenheim";1;2
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1995";"Mehrfamilienhaus";1;3
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1996";"Eigenheim";1;2
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1996";"Mehrfamilienhaus";1;9
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1998";"Eigenheim";1;1
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1999";"Mehrfamilienhaus";1;9
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2000";"Eigenheim";1;1
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2000";"Mehrfamilienhaus";1;5
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2002";"Mehrfamilienhaus";1;3
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2004";"Mehrfamilienhaus";3;22
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2004";"Nichtwohngebäude ohne Wohnungen";1;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2006";"Eigenheim";1;2
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2006";"Mehrfamilienhaus";1;5
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2008";"Eigenheim";1;1
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2009";"Nichtwohngebäude mit Wohnungen";1;1
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2009";"Nichtwohngebäude ohne Wohnungen";1;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2010";"Mehrfamilienhaus";1;12
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2010";"Nichtwohngebäude ohne Wohnungen";1;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2011";"Mehrfamilienhaus";5;56
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2012";"Mehrfamilienhaus";4;24
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2013";"Nichtwohngebäude ohne Wohnungen";1;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2014";"Mehrfamilienhaus";1;3
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2017";"Eigenheim";1;1
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2017";"Mehrfamilienhaus";9;125
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2017";"Nichtwohngebäude mit Wohnungen";2;3
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2017";"Nichtwohngebäude ohne Wohnungen";1;0
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2018";"Eigenheim";1;1
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2018";"Mehrfamilienhaus";3;13
"227  Übigau";"22 Mickten";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2018";"Nichtwohngebäude ohne Wohnungen";2;0
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1992";"Mehrfamilienhaus";1;22
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1994";"Mehrfamilienhaus";1;16
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1994";"Nichtwohngebäude ohne Wohnungen";1;0
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1995";"Mehrfamilienhaus";1;5
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1995";"Nichtwohngebäude ohne Wohnungen";1;0
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1996";"Nichtwohngebäude ohne Wohnungen";1;0
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1997";"Nichtwohngebäude ohne Wohnungen";1;0
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1999";"Eigenheim";1;1
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2000";"Nichtwohngebäude ohne Wohnungen";1;0
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2003";"Eigenheim";1;1
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2006";"Eigenheim";1;1
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2007";"Nichtwohngebäude mit Wohnungen";1;3
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2007";"Nichtwohngebäude ohne Wohnungen";1;0
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2009";"Eigenheim";2;2
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2010";"Eigenheim";1;1
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2014";"Mehrfamilienhaus";2;19
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1992";"Eigenheim";1;1
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1993";"Mehrfamilienhaus";1;12
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1995";"Mehrfamilienhaus";3;22
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1996";"Mehrfamilienhaus";9;73
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1997";"Mehrfamilienhaus";9;71
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1998";"Mehrfamilienhaus";4;29
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1999";"Mehrfamilienhaus";3;22
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2000";"Eigenheim";1;1
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2000";"Mehrfamilienhaus";2;19
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2001";"Mehrfamilienhaus";3;24
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2003";"Eigenheim";1;1
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2004";"Mehrfamilienhaus";1;4
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2005";"Nichtwohngebäude ohne Wohnungen";1;0
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2006";"Mehrfamilienhaus";3;20
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2007";"Mehrfamilienhaus";2;13
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2007";"Nichtwohngebäude ohne Wohnungen";1;0
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2008";"Mehrfamilienhaus";1;9
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2008";"Nichtwohngebäude ohne Wohnungen";1;0
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2010";"Nichtwohngebäude ohne Wohnungen";1;0
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2011";"Mehrfamilienhaus";1;7
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2011";"Nichtwohngebäude ohne Wohnungen";1;0
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2013";"Mehrfamilienhaus";1;5
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2015";"Eigenheim";1;1
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2015";"Mehrfamilienhaus";2;13
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2015";"Nichtwohngebäude ohne Wohnungen";1;0
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2016";"Eigenheim";1;1
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2016";"Mehrfamilienhaus";2;10
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2017";"Eigenheim";1;1
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2018";"Mehrfamilienhaus";1;6
"231  Kaditz(Wächterstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2018";"Nichtwohngebäude ohne Wohnungen";1;0
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1994";"Mehrfamilienhaus";1;12
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1994";"Nichtwohngebäude ohne Wohnungen";1;0
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"1995";"Nichtwohngebäude ohne Wohnungen";1;0
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2004";"Nichtwohngebäude ohne Wohnungen";1;0
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2008";"Nichtwohngebäude ohne Wohnungen";1;0
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2010";"Eigenheim";1;1
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2012";"Eigenheim";3;4
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2016";"Nichtwohngebäude ohne Wohnungen";1;0
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2018";"Mehrfamilienhaus";4;116
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Neubau";"2018";"Nichtwohngebäude ohne Wohnungen";1;0
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1992";"Nichtwohngebäude ohne Wohnungen";1;0
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1993";"Eigenheim";1;1
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1993";"Mehrfamilienhaus";1;6
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1994";"Mehrfamilienhaus";1;16
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1995";"Nichtwohngebäude ohne Wohnungen";1;0
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1996";"Mehrfamilienhaus";1;9
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1997";"Mehrfamilienhaus";4;30
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"1998";"Mehrfamilienhaus";8;83
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2001";"Mehrfamilienhaus";2;10
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2002";"Mehrfamilienhaus";2;13
"232  Kaditz(Peschelstr)";"23 Kaditz";"StB 2 Pieschen";"StB 2 Pieschen";"05 Mickten, Kaditz, Trachau";"Umbau";"2003";"Mehrfamilienhaus";2;16
